X,Y
0.0,144.0
0.2,120.0
0.4,128.0
0.6000000000000001,116.0
0.8,100.0
1.0,92.0
1.2,93.0
1.4,87.1
1.6,90.0
1.8,80.0
2.0,82.0
2.2,65.41
2.4,61.0
2.6,50.0
2.8,60.0
3.0,45.0
3.2,40.0
3.4,35.0
3.6,39.0
3.8,38.0
4.0,38.0
4.2,30.0
4.4,29.0
4.600000000000001,28.0
4.800000000000001,12.0
5.0,30.0
5.2,15.0
5.4,21.0
5.600000000000001,19.0
5.800000000000001,1.0
6.0,28.0
6.2,36.0
6.4,23.0
6.600000000000001,5.0
6.800000000000001,19.0
7.0,20.0
7.2,10.92
7.4,10.17
7.600000000000001,9.46
7.800000000000001,12.0
8.0,15.0
8.200000000000001,16.0
8.4,7.11
8.6,6.62
8.8,8.0
9.0,11.0
9.200000000000001,5.34
9.4,4.0
9.600000000000001,8.63
9.8,4.4
10.0,4.01
