Sexo,Idade,Cor,Tempo de Estudo,Renda,Altura
Masculino,23,Parda,12,800,1.6
Feminino,23,Branca,12,1150,1.74
Feminino,35,Parda,15,880,1.76
Masculino,46,Branca,6,3500,1.78
Feminino,47,Parda,9,150,1.69
Feminino,34,Parda,12,790,1.64
Masculino,57,Parda,12,3150,1.57
Feminino,60,Parda,12,1700,1.61
Feminino,50,Preta,14,1800,1.78
Masculino,26,Parda,12,1150,1.79
Feminino,46,Parda,12,3000,1.79
Feminino,49,Parda,6,2500,1.71
Feminino,52,Branca,6,1200,1.74
Masculino,38,Parda,12,2000,1.75
Masculino,45,Branca,12,2000,1.78
Masculino,34,Branca,16,6000,1.71
Feminino,43,Parda,10,1050,1.79
Masculino,53,Parda,16,7000,1.67
Masculino,57,Branca,12,2000,1.72
Feminino,62,Parda,12,1150,1.77
Masculino,69,Parda,1,3030,1.75
Feminino,41,Parda,16,4000,1.66
Masculino,34,Parda,5,788,1.75
Masculino,25,Parda,12,1000,1.73
Masculino,33,Parda,9,800,1.78
Feminino,44,Parda,5,788,1.67
Masculino,33,Branca,16,1600,1.78
Masculino,65,Branca,12,1700,1.87
Masculino,33,Parda,14,2000,1.89
Masculino,32,Parda,12,2400,1.66
Masculino,43,Parda,5,3000,1.64
Masculino,30,Parda,1,920,1.69
Masculino,26,Branca,10,1300,1.68
Masculino,52,Branca,15,2000,1.67
Masculino,62,Parda,1,1300,1.63
Masculino,64,Amarela,5,600,1.71
Masculino,31,Parda,7,1200,1.76
Masculino,63,Branca,3,1000,1.69
Feminino,40,Branca,9,1000,1.71
Masculino,47,Preta,9,1500,1.67
Masculino,34,Branca,7,900,1.65
Masculino,33,Parda,6,900,1.81
Masculino,63,Parda,6,0,1.65
Feminino,40,Parda,2,300,1.76
Masculino,41,Parda,6,1600,1.61
Masculino,28,Branca,10,1500,1.69
Feminino,32,Parda,12,750,1.68
Masculino,44,Branca,1,800,1.7
Feminino,38,Branca,12,3600,1.6
Masculino,41,Branca,4,1500,1.65
Masculino,62,Parda,8,3000,1.75
Masculino,37,Parda,7,2300,1.58
Masculino,41,Branca,12,1500,1.7
Masculino,41,Parda,12,4500,1.57
Feminino,46,Branca,16,4800,1.73
Feminino,46,Parda,12,900,1.66
Feminino,45,Branca,7,400,1.45
Masculino,60,Parda,2,1050,1.75
Feminino,38,Parda,7,850,1.6
Feminino,32,Parda,12,650,1.62
Feminino,39,Parda,6,300,1.52
Feminino,49,Parda,5,900,1.68
Feminino,34,Branca,11,1000,1.77
Feminino,38,Parda,8,970,1.8
Feminino,36,Preta,12,1000,1.7
Feminino,45,Branca,7,600,1.67
Masculino,49,Preta,10,1000,1.81
Feminino,44,Preta,10,800,1.74
Masculino,73,Parda,1,0,1.8
Masculino,56,Branca,6,200,1.49
Masculino,33,Parda,4,1400,1.67
Masculino,27,Branca,12,2500,1.83
Masculino,49,Branca,4,3000,1.77
Masculino,57,Parda,2,1100,1.71
Masculino,41,Parda,17,2000,1.71
Masculino,39,Branca,11,1400,1.83
Masculino,23,Parda,5,788,1.71
Masculino,39,Parda,9,1400,1.79
Masculino,35,Preta,4,1000,1.65
Masculino,30,Parda,4,600,1.75
Masculino,35,Parda,4,788,1.77
Masculino,36,Branca,4,500,1.72
Masculino,37,Parda,4,1500,1.71
Masculino,60,Preta,1,1400,1.65
Masculino,38,Branca,9,600,1.73
Masculino,43,Branca,9,800,1.77
Masculino,42,Branca,9,1200,1.74
Masculino,51,Branca,9,2500,1.77
Feminino,33,Parda,12,1200,1.76
Masculino,46,Branca,1,2000,1.71
